Transaction Hash,Status,Method,BlockNo,DateTime (UTC),From,From_Nametag,To,To_Nametag,Amount,Value (USD),Token
"0xcb82ce50aa143bc04244d110026eb79320a670675a25fd572c9c613c162ef3c3","Success","Swap Exact ETH For Tokens","26704090","2025-02-22 04:12:07","0x5ae2b2f9a66d586fc8f70fe9ffc2458fb54a71ca","","0x617a79b94247e9cc07912e887308ec2ac4361b65","","0.15645012","$0.00","ERC-20: catchcoin(CATCH)"
"0xcb82ce50aa143bc04244d110026eb79320a670675a25fd572c9c613c162ef3c3","Success","Swap Exact ETH For Tokens","26704090","2025-02-22 04:12:07","0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24","Uniswap: V2 Router02","0x5ae2b2f9a66d586fc8f70fe9ffc2458fb54a71ca","","0.0000001","$0.00","Wrapped Ether(WETH)"
"0xd3a1b0cd68045776dd34351aeb8a25b5fdd28afd043140ff2a118d79c31066ed","Success","Increase","26704090","2025-02-22 04:12:07","0x828eb91fc5331d854d91e99b2d22b76233261380","","0x9deb607b7e92096df55b02aa563e82f612fd0def","","0.02396982","$0.02","USDS Stablecoin(USDS)"
"0xd3a1b0cd68045776dd34351aeb8a25b5fdd28afd043140ff2a118d79c31066ed","Success","Increase","26704090","2025-02-22 04:12:07","0x828eb91fc5331d854d91e99b2d22b76233261380","","0x4289a0666397f517c2a761652aaebaf6a4f7a693","","69.16658793","$69.24","USDS Stablecoin(USDS)"
"0xd3a1b0cd68045776dd34351aeb8a25b5fdd28afd043140ff2a118d79c31066ed","Success","Increase","26704090","2025-02-22 04:12:07","0x828eb91fc5331d854d91e99b2d22b76233261380","","0x4289a0666397f517c2a761652aaebaf6a4f7a693","","0.05358307","$143.47","Wrapped Ether(WETH)"
"0xd3a1b0cd68045776dd34351aeb8a25b5fdd28afd043140ff2a118d79c31066ed","Success","Increase","26704090","2025-02-22 04:12:07","0x6a000f20005980200259b80c5102003040001068","ParaSwap: Augustus V6.2","0x828eb91fc5331d854d91e99b2d22b76233261380","","69.19055775","$69.26","USDS Stablecoin(USDS)"
"0xd3a1b0cd68045776dd34351aeb8a25b5fdd28afd043140ff2a118d79c31066ed","Success","Increase","26704090","2025-02-22 04:12:07","0x000010036c0190e009a000d0fc3541100a07380a","","0xa441378a1cb4df371535296e539a1e0def6924e4","","69.201796","$69.20","USDC(USDC)"
"0xd3a1b0cd68045776dd34351aeb8a25b5fdd28afd043140ff2a118d79c31066ed","Success","Increase","26704090","2025-02-22 04:12:07","0xa441378a1cb4df371535296e539a1e0def6924e4","","0x6a000f20005980200259b80c5102003040001068","ParaSwap: Augustus V6.2","69.19055775","$69.26","USDS Stablecoin(USDS)"
"0xd3a1b0cd68045776dd34351aeb8a25b5fdd28afd043140ff2a118d79c31066ed","Success","Increase","26704090","2025-02-22 04:12:07","0x51c72848c68a965f66fa7a88855f9f7784502a7f","","0x000010036c0190e009a000d0fc3541100a07380a","","69.201796","$69.20","USDC(USDC)"
"0xd3a1b0cd68045776dd34351aeb8a25b5fdd28afd043140ff2a118d79c31066ed","Success","Increase","26704090","2025-02-22 04:12:07","0x000010036c0190e009a000d0fc3541100a07380a","","0x51c72848c68a965f66fa7a88855f9f7784502a7f","","69.204943","$69.34","USD Base Coin(USDbC)"
"0xd3a1b0cd68045776dd34351aeb8a25b5fdd28afd043140ff2a118d79c31066ed","Success","Increase","26704090","2025-02-22 04:12:07","0x51c72848c68a965f66fa7a88855f9f7784502a7f","","0x000010036c0190e009a000d0fc3541100a07380a","","69.204943","$69.34","USD Base Coin(USDbC)"
"0xd3a1b0cd68045776dd34351aeb8a25b5fdd28afd043140ff2a118d79c31066ed","Success","Increase","26704090","2025-02-22 04:12:07","0x000010036c0190e009a000d0fc3541100a07380a","","0x51c72848c68a965f66fa7a88855f9f7784502a7f","","0.02582692","$69.15","Wrapped Ether(WETH)"
"0xd3a1b0cd68045776dd34351aeb8a25b5fdd28afd043140ff2a118d79c31066ed","Success","Increase","26704090","2025-02-22 04:12:07","0x828eb91fc5331d854d91e99b2d22b76233261380","","0x000010036c0190e009a000d0fc3541100a07380a","","0.02582692","$69.15","Wrapped Ether(WETH)"
"0xd3a1b0cd68045776dd34351aeb8a25b5fdd28afd043140ff2a118d79c31066ed","Success","Increase","26704090","2025-02-22 04:12:07","0x828eb91fc5331d854d91e99b2d22b76233261380","","0xd4627ecb405b64448ee6b07dcf860bf55590c83d","","0.00007153","$0.19","Wrapped Ether(WETH)"
"0xd3a1b0cd68045776dd34351aeb8a25b5fdd28afd043140ff2a118d79c31066ed","Success","Increase","26704090","2025-02-22 04:12:07","0x9deb607b7e92096df55b02aa563e82f612fd0def","","0x828eb91fc5331d854d91e99b2d22b76233261380","","0.07948153","$212.82","Wrapped Ether(WETH)"
"0xd3a1b0cd68045776dd34351aeb8a25b5fdd28afd043140ff2a118d79c31066ed","Success","Increase","26704090","2025-02-22 04:12:07","0x828eb91fc5331d854d91e99b2d22b76233261380","","0x9deb607b7e92096df55b02aa563e82f612fd0def","","0.83392765","$0.64","Aerodrome(AERO)"
"0xd3a1b0cd68045776dd34351aeb8a25b5fdd28afd043140ff2a118d79c31066ed","Success","Increase","26704090","2025-02-22 04:12:07","0x828eb91fc5331d854d91e99b2d22b76233261380","","0xd4627ecb405b64448ee6b07dcf860bf55590c83d","","0.00757351","$0.01","Aerodrome(AERO)"
"0xd3a1b0cd68045776dd34351aeb8a25b5fdd28afd043140ff2a118d79c31066ed","Success","Increase","26704090","2025-02-22 04:12:07","0x0c8a0ba64139c17eb90a9fe63158498be41467eb","","0x828eb91fc5331d854d91e99b2d22b76233261380","","0.84150116","$0.65","Aerodrome(AERO)"
"0x3ad1710febf9b4e1ef691ca6f79214e509868fda732120b2f576221085f5925c","Success","Reinvest","26704090","2025-02-22 04:12:07","0xfe970be08531dead94b0e1bc01a1ccf652e2bd29","","0x76c48576822cd955c320f5d5a163e738dbfecc01","","0.00877328","$0.00","ERC-20: Volatile AMM - WETH/fBOMB(vAMM-WETH/fBOMB)"
"0x3ad1710febf9b4e1ef691ca6f79214e509868fda732120b2f576221085f5925c","Success","Reinvest","26704090","2025-02-22 04:12:07","0x0000000000000000000000000000000000000000","Null: 0x000...000","0xfe970be08531dead94b0e1bc01a1ccf652e2bd29","","0.00877328","$0.00","ERC-20: Volatile AMM - WETH/fBOMB(vAMM-WETH/fBOMB)"
"0x3ad1710febf9b4e1ef691ca6f79214e509868fda732120b2f576221085f5925c","Success","Reinvest","26704090","2025-02-22 04:12:07","0xfe970be08531dead94b0e1bc01a1ccf652e2bd29","","0x0000000000000000000000000000000000000000","Null: 0x000...000","0.0286942","$0.00","Fantom Bomb(fBOMB)"
"0x3ad1710febf9b4e1ef691ca6f79214e509868fda732120b2f576221085f5925c","Success","Reinvest","26704090","2025-02-22 04:12:07","0xfe970be08531dead94b0e1bc01a1ccf652e2bd29","","0x4f9dc2229f2357b27c22db56cb39582c854ad6d5","","2.84072638","$0.09","Fantom Bomb(fBOMB)"
"0x3ad1710febf9b4e1ef691ca6f79214e509868fda732120b2f576221085f5925c","Success","Reinvest","26704090","2025-02-22 04:12:07","0xfe970be08531dead94b0e1bc01a1ccf652e2bd29","","0x4f9dc2229f2357b27c22db56cb39582c854ad6d5","","0.00003397","$0.09","Wrapped Ether(WETH)"
"0x3ad1710febf9b4e1ef691ca6f79214e509868fda732120b2f576221085f5925c","Success","Reinvest","26704090","2025-02-22 04:12:07","0x4f9dc2229f2357b27c22db56cb39582c854ad6d5","","0x3b4c8229b200407c4ac8bbe76530c5dc54a6d465","","0.00000034","$0.00","Wrapped Ether(WETH)"
"0x3ad1710febf9b4e1ef691ca6f79214e509868fda732120b2f576221085f5925c","Success","Reinvest","26704090","2025-02-22 04:12:07","0x4f9dc2229f2357b27c22db56cb39582c854ad6d5","","0x0000000000000000000000000000000000000000","Null: 0x000...000","0.02898404","$0.00","Fantom Bomb(fBOMB)"
"0x3ad1710febf9b4e1ef691ca6f79214e509868fda732120b2f576221085f5925c","Success","Reinvest","26704090","2025-02-22 04:12:07","0x4f9dc2229f2357b27c22db56cb39582c854ad6d5","","0xfe970be08531dead94b0e1bc01a1ccf652e2bd29","","2.86942059","$0.09","Fantom Bomb(fBOMB)"
"0x3ad1710febf9b4e1ef691ca6f79214e509868fda732120b2f576221085f5925c","Success","Reinvest","26704090","2025-02-22 04:12:07","0xfe970be08531dead94b0e1bc01a1ccf652e2bd29","","0x4f9dc2229f2357b27c22db56cb39582c854ad6d5","","0.00003466","$0.09","Wrapped Ether(WETH)"
"0x3ad1710febf9b4e1ef691ca6f79214e509868fda732120b2f576221085f5925c","Success","Reinvest","26704090","2025-02-22 04:12:07","0x7f670f78b17dec44d5ef68a48740b6f8849cc2e6","","0xa977b246e91ba4277eab4e58b18e4cef17ade33a","","0.00243291","$0.00","Aerodrome(AERO)"
"0x3ad1710febf9b4e1ef691ca6f79214e509868fda732120b2f576221085f5925c","Success","Reinvest","26704090","2025-02-22 04:12:07","0x7f670f78b17dec44d5ef68a48740b6f8849cc2e6","","0xfe970be08531dead94b0e1bc01a1ccf652e2bd29","","0.00006863","$0.18","Wrapped Ether(WETH)"
"0x3ad1710febf9b4e1ef691ca6f79214e509868fda732120b2f576221085f5925c","Success","Reinvest","26704090","2025-02-22 04:12:07","0xfe970be08531dead94b0e1bc01a1ccf652e2bd29","","0x7f670f78b17dec44d5ef68a48740b6f8849cc2e6","","0.24329159","$0.19","Aerodrome(AERO)"
"0x3ad1710febf9b4e1ef691ca6f79214e509868fda732120b2f576221085f5925c","Success","Reinvest","26704090","2025-02-22 04:12:07","0xfe970be08531dead94b0e1bc01a1ccf652e2bd29","","0x2c1064f5139931021ae70df545349a36d937da25","","0.00496513","$0.00","Aerodrome(AERO)"
"0x3ad1710febf9b4e1ef691ca6f79214e509868fda732120b2f576221085f5925c","Success","Reinvest","26704090","2025-02-22 04:12:07","0x76c48576822cd955c320f5d5a163e738dbfecc01","","0xfe970be08531dead94b0e1bc01a1ccf652e2bd29","","0.24825672","$0.19","Aerodrome(AERO)"
"0xb732f4b90c6098ee2a0347c1f7f204ded92a7c5ad244e6497a94d17493ace6a3","Success","Reinvest","26704090","2025-02-22 04:12:07","0xaa9f575a3fbf36d54fa3270fe25d4bb7bb3ba3ae","","0xa95ebefbcb77ae1daf0d2123784594f8cce90274","","0.00000002","$0.00","ERC-20: Volatile AMM - fBOMB/cbBTC(vAMM-fBOMB/cbBTC)"
"0xb732f4b90c6098ee2a0347c1f7f204ded92a7c5ad244e6497a94d17493ace6a3","Success","Reinvest","26704090","2025-02-22 04:12:07","0x0000000000000000000000000000000000000000","Null: 0x000...000","0xaa9f575a3fbf36d54fa3270fe25d4bb7bb3ba3ae","","0.00000002","$0.00","ERC-20: Volatile AMM - fBOMB/cbBTC(vAMM-fBOMB/cbBTC)"
"0xb732f4b90c6098ee2a0347c1f7f204ded92a7c5ad244e6497a94d17493ace6a3","Success","Reinvest","26704090","2025-02-22 04:12:07","0xaa9f575a3fbf36d54fa3270fe25d4bb7bb3ba3ae","","0x3d36cf85a0c275cf4894315a6c1d6c558d6d984c","","5.16308323","$0.16","Fantom Bomb(fBOMB)"
"0xb732f4b90c6098ee2a0347c1f7f204ded92a7c5ad244e6497a94d17493ace6a3","Success","Reinvest","26704090","2025-02-22 04:12:07","0xaa9f575a3fbf36d54fa3270fe25d4bb7bb3ba3ae","","0x3d36cf85a0c275cf4894315a6c1d6c558d6d984c","","0.00000171","$0.16","Coinbase Wrapped BTC(cbBTC)"
"0xb732f4b90c6098ee2a0347c1f7f204ded92a7c5ad244e6497a94d17493ace6a3","Success","Reinvest","26704090","2025-02-22 04:12:07","0x3d36cf85a0c275cf4894315a6c1d6c558d6d984c","","0x99fca99a5cd81295d2350405ea69b178272b0090","","0.00000001","$0.00","Coinbase Wrapped BTC(cbBTC)"
"0xb732f4b90c6098ee2a0347c1f7f204ded92a7c5ad244e6497a94d17493ace6a3","Success","Reinvest","26704090","2025-02-22 04:12:07","0x3d36cf85a0c275cf4894315a6c1d6c558d6d984c","","0xaa9f575a3fbf36d54fa3270fe25d4bb7bb3ba3ae","","5.16308323","$0.16","Fantom Bomb(fBOMB)"
"0xb732f4b90c6098ee2a0347c1f7f204ded92a7c5ad244e6497a94d17493ace6a3","Success","Reinvest","26704090","2025-02-22 04:12:07","0xaa9f575a3fbf36d54fa3270fe25d4bb7bb3ba3ae","","0x3d36cf85a0c275cf4894315a6c1d6c558d6d984c","","0.00000172","$0.17","Coinbase Wrapped BTC(cbBTC)"
"0xb732f4b90c6098ee2a0347c1f7f204ded92a7c5ad244e6497a94d17493ace6a3","Success","Reinvest","26704090","2025-02-22 04:12:07","0x2578365b3dfa7ffe60108e181efb79feddec2319","","0x6652e9d645175bfcf59ca869ec9226899014218c","","0.00000037","$0.00","Wrapped Ether(WETH)"
"0xb732f4b90c6098ee2a0347c1f7f204ded92a7c5ad244e6497a94d17493ace6a3","Success","Reinvest","26704090","2025-02-22 04:12:07","0x2578365b3dfa7ffe60108e181efb79feddec2319","","0xaa9f575a3fbf36d54fa3270fe25d4bb7bb3ba3ae","","0.00000342","$0.33","Coinbase Wrapped BTC(cbBTC)"
"0xb732f4b90c6098ee2a0347c1f7f204ded92a7c5ad244e6497a94d17493ace6a3","Success","Reinvest","26704090","2025-02-22 04:12:07","0xaa9f575a3fbf36d54fa3270fe25d4bb7bb3ba3ae","","0x2578365b3dfa7ffe60108e181efb79feddec2319","","0.0001235","$0.33","Wrapped Ether(WETH)"
"0xb732f4b90c6098ee2a0347c1f7f204ded92a7c5ad244e6497a94d17493ace6a3","Success","Reinvest","26704090","2025-02-22 04:12:07","0x7f670f78b17dec44d5ef68a48740b6f8849cc2e6","","0xa977b246e91ba4277eab4e58b18e4cef17ade33a","","0.00437756","$0.00","Aerodrome(AERO)"
"0xb732f4b90c6098ee2a0347c1f7f204ded92a7c5ad244e6497a94d17493ace6a3","Success","Reinvest","26704090","2025-02-22 04:12:07","0x7f670f78b17dec44d5ef68a48740b6f8849cc2e6","","0xaa9f575a3fbf36d54fa3270fe25d4bb7bb3ba3ae","","0.0001235","$0.33","Wrapped Ether(WETH)"
"0xb732f4b90c6098ee2a0347c1f7f204ded92a7c5ad244e6497a94d17493ace6a3","Success","Reinvest","26704090","2025-02-22 04:12:07","0xaa9f575a3fbf36d54fa3270fe25d4bb7bb3ba3ae","","0x7f670f78b17dec44d5ef68a48740b6f8849cc2e6","","0.43775618","$0.34","Aerodrome(AERO)"
"0xb732f4b90c6098ee2a0347c1f7f204ded92a7c5ad244e6497a94d17493ace6a3","Success","Reinvest","26704090","2025-02-22 04:12:07","0xaa9f575a3fbf36d54fa3270fe25d4bb7bb3ba3ae","","0xd5676ef8bc02b986e6f066c08341300541e3e9e6","","0.00893379","$0.01","Aerodrome(AERO)"
"0xb732f4b90c6098ee2a0347c1f7f204ded92a7c5ad244e6497a94d17493ace6a3","Success","Reinvest","26704090","2025-02-22 04:12:07","0xa95ebefbcb77ae1daf0d2123784594f8cce90274","","0xaa9f575a3fbf36d54fa3270fe25d4bb7bb3ba3ae","","0.44668998","$0.34","Aerodrome(AERO)"
"0x61bbb0edd7e7de290110a39a685e7a1de71733696fb01b69fff4e4277050a0da","Success","Transfer","26704090","2025-02-22 04:12:07","0x0daec3c6293ddd07f515ee976fdbfec7bf98bc40","","0x0088a650b00782aaf61bada5f2ea920636ed6242","","210","$0.00","ERC-20: TIEDUP(BDSM)"
"0xa7a58356a54661c6f7dea42517e2474a8a6f07dc4c68cccff82e074e7a0d9dc2","Success","Transfer","26704090","2025-02-22 04:12:07","0x379efb5535aaa0f9611e928e81f0d327ca39eb05","","0x0088a650b00782aaf61bada5f2ea920636ed6242","","210","$0.00","ERC-20: TIEDUP(BDSM)"
"0x6d3b2e3a2f6123cd6ce71e77d93bcf276dbd9708fb94411ae201b1a7426c758a","Success","Multicall","26704090","2025-02-22 04:12:07","0xec6c44e704eb1932ec5fe1e4aba58db6fee71460","","0x208b443983d8bcc8578e9d86db23fba547071270","SynFutures Protocol : Gate","64.17896","$64.18","USDC(USDC)"